mother мама
father папа
cat кот
dog собака
is есть
was был
love любить
loves любит
loved любил
the
a
an
son сын
daughter дочь
brother брат
sister сестра
friend друг
house дом
car машина
book книга
table стол
chair стул
door дверь
window окно
water вода
fire огонь
earth земля
sky небо
sun солнце
moon луна
star звезда
tree дерево
flower цветок
bird птица
fish рыба
horse лошадь
mouse мышь
child ребёнок
man мужчина
woman женщина
day день
night ночь
year год
time время
world мир
life жизнь
death смерть
work работа
sleep спать
eat есть (кушать)
drink пить
see видеть
hear слышать
speak говорить
think думать
know знать
have иметь
do делать
go идти
come приходить
give давать
take брать
head голова
hand рука (кисть)
foot нога (ступня)
eye глаз
ear ухо
nose нос
mouth рот
heart сердце
blood кровь
bone кость
city город
village деревня
street улица
road дорога
bridge мост
river река
lake озеро
sea море
mountain гора
forest лес
garden сад
kitchen кухня
bedroom спальня
school школа
teacher учитель
student ученик
doctor врач
nurse медсестра
driver водитель
worker рабочий
king король
queen королева
prince принц
princess принцесса
angel ангел
devil дьявол
god бог
name имя
word слово
sentence предложение
question вопрос
answer ответ
beginning начало
end конец
home дом (родной)
family семья
people люди
country страна
language язык
apple яблоко
banana банан
orange апельсин
lemon лимон
grape виноград
peach персик
cherry вишня
strawberry клубника
watermelon арбуз
pumpkin тыква
potato картофель
tomato помидор
cucumber огурец
carrot морковь
onion лук
garlic чеснок
pepper перец
salt соль
sugar сахар
bread хлеб
milk молоко
cheese сыр
butter масло
egg яйцо
meat мясо
chicken курица
pork свинина
beef говядина
rice рис
pasta макароны
soup суп
salad салат
cake торт
pie пирог
pizza пицца
coffee кофе
tea чай
juice сок
wine вино
beer пиво
spring весна
summer лето
autumn осень
winter зима
morning утро
afternoon день (после полудня)
evening вечер
midnight полночь
today сегодня
tomorrow завтра
yesterday вчера
week неделя
month месяц
minute минута
hour час
second секунда
north север
south юг
east восток
west запад
left левый
right правый
up вверх
down вниз
big большой
small маленький
long длинный
short короткий
wide широкий
narrow узкий
thick толстый
thin тонкий
heavy тяжёлый
light лёгкий
hot горячий
cold холодный
warm тёплый
cool прохладный
bright яркий
dark тёмный
soft мягкий
hard твёрдый
sweet сладкий
sour кислый
bitter горький
salty солёный
fresh свежий
old старый
young молодой
new новый
beautiful красивый
ugly уродливый
happy счастливый
sad грустный
angry злой
tired уставший
hungry голодный
thirsty испытывающий жажду
funny смешной
serious серьёзный
kind добрый
evil злой
strong сильный
weak слабый
fast быстрый
slow медленный
go идти
come приходить
run бежать
take брать
give давать
see видеть
hear слышать
speak говорить
talk разговаривать
say сказать
tell рассказывать
ask спрашивать
answer отвечать
think думать
know знать
understand понимать
believe верить
feel чувствовать
want хотеть
need нуждаться
like нравиться
love любить
hate ненавидеть
prefer предпочитать
choose выбирать
decide решать
try пытаться
attempt предпринимать
manage управлять
succeed преуспевать
fail терпеть неудачу
learn учить
study изучать
teach учить (кого-то)
explain объяснять
show показывать
prove доказывать
begin начинать
start начинать
finish заканчивать
stop останавливаться
continue продолжать
wait ждать
stay оставаться
leave уходить
arrive прибывать
reach достигать
enter входить
exit выходить
open открывать
close закрывать
turn поворачивать
return возвращаться
move двигаться
push толкать
pull тянуть
lift поднимать
carry нести
hold держать
catch ловить
throw бросать
hit ударять
kick пинать
jump прыгать
walk ходить
swim плавать
fly летать
ride ездить верхом
drive вести машину
travel путешествовать
visit посещать
meet встречать
call звонить
write писать
read читать
draw рисовать
paint раскрашивать
sing петь
dance танцевать
play играть
work работать
rest отдыхать
sleep спать
wake просыпаться
dream мечтать/видеть сон
wash мыть
clean чистить
cook готовить
bake печь
fry жарить
boil варить
eat есть
drink пить
smoke курить
laugh смеяться
cry плакать
shout кричать
whisper шептать
smile улыбаться
frown хмуриться
nod кивать
shake трясти
wave махать
went пошёл
came пришёл
ran побежал
took взял
gave дал
saw увидел
heard услышал
spoke сказал (заговорил)
talked разговаривал
said сказал
told рассказал
asked спросил
answered ответил
thought подумал
knew знал
understood понял
believed поверил
felt почувствовал
wanted захотел
needed нуждался
liked понравился
loved полюбил
hated ненавидел
preferred предпочёл
chose выбрал
decided решил
tried попытался
attempted предпринял
managed справился
succeeded преуспел
failed потерпел неудачу
learned выучил
studied изучал
taught научил
explained объяснил
showed показал
proved доказал
began начал
started начал
finished закончил
stopped остановился
continued продолжил
waited ждал
stayed остался
left ушёл
arrived прибыл
reached достиг
entered вошёл
exited вышел
opened открыл
closed закрыл
turned повернул
returned вернулся
moved двигался
pushed толкнул
pulled потянул
lifted поднял
carried нёс
held держал
caught поймал
threw бросил
hit ударил
kicked пнул
jumped прыгнул
walked ходил
swam плавал
flew летел
rode ездил верхом
drove вёл машину
traveled путешествовал
visited посетил
met встретил
called позвонил
wrote написал
read прочитал
drew нарисовал
painted раскрасил
sang пел
danced танцевал
played играл
worked работал
rested отдыхал
slept спал
woke проснулся
dreamed мечтал/видел сон
washed мыл
cleaned почистил
cooked готовил
baked испёк
fried жарил
boiled варил
ate поел
drank выпил
smoked курил
laughed смеялся
cried плакал
shouted крикнул
whispered шепнул
smiled улыбнулся
frowned нахмурился
nodded кивнул
shook тряс
waved махнул
